loss,mae,rmse
0.13295438885688782,0.2447323352098465,0.3646291196346283
0.023855147883296013,0.11679882556200027,0.1544511318206787
0.013810955919325352,0.09049083292484283,0.1175200343132019
0.01039065606892109,0.0782092958688736,0.10193455964326859
0.00830245390534401,0.07013729214668274,0.09111779928207397
0.006498627830296755,0.06224434822797775,0.08061406761407852
0.00514235720038414,0.055461715906858444,0.07171022891998291
0.0046627395786345005,0.05291830003261566,0.06828425824642181
0.004455594811588526,0.0520443394780159,0.06675024330615997
0.003958853892982006,0.049009088426828384,0.06291942298412323
0.003679338376969099,0.047527242451906204,0.060657549649477005
0.004399918019771576,0.05109865218400955,0.0663318783044815
